text,price
PNY Tarjeta gráfica GeForce RTX™ 3070 Ti 8GB XLR8 Gaming Revel Epic-X RGB™ Triple Fan,529.13
Gigabyte GV-N308TVISION OC-12GD Tarjeta gráfica NVIDIA GeForce RTX 3080 Ti 12 GB GDDR6X,1.835.00
"Tarjeta gráfica Palit RTX 3060 Ti Dual 8G GDDR6 Ray-Tracing, 4864 Core, 1410 MHz GPU, 1665 MHz Boost, 3 DisplayPort, HDMI",899.00
"ASUS GT1030-SL-2G-BRK GeForce GT 1030 2GB GDDR5 - Tarjeta gráfica (NVIDIA, GeForce GT 1030, 1920 x 1080 Pixeles, 1266 MHz, 1506 MHz, 2 GB)",132.38
"PNY Tarjeta gráfica profesional Quadro RTX 6000 24GB GDDR6 PCI Express 3.0 x16, doble ranura, 4x DisplayPort, soporte 8K, ventilador activo ultra silencioso",4.534.16
"Gigabyte Technology GeForce RTX 2060 OC GV-N2060OC-6GD - Tarjeta grafica, Negro",4.534.16
Gigabyte Technology GeForce RTX 3080 Vision OC 10GB Tarjeta gráfica (GV-N3080VISION OC-10GD),1.267.11
Creely Tarjeta GráFica GT730 2G Tarjeta GráFica de 64 bits D3 para Juegos Tarjeta GráFica de Media Altura de Servidor Tarjetas de Video para Geforce Dvi VGA Tarjeta de Video,48.10
"Gainward 426018336-3224 - Tarjeta gráfica (PCI-E GT730 Passive 2048 MB DDR3, DVI/HDMI/VGA)",85.97
"ASUS Dual GeForce GTX 1660 Super OC Edition 6GB GDDR6 - Tarjeta gráfica (Ventiladores Axial-Tech, diseño de 2,7 Ranuras, Auto-Extreme Technology, HDMI 2.0, DP 1.4)",454.65
Razer - Tarjeta gráfica externa con conexión Thunderbolt 3 para portátiles con gráficos externos Windows 10 y Mac,483.96
"MSI GeForce GT 1030 Aero ITX 2G OC - Tarjeta gráfica (tamaño ITX, 2 GB Memoria GDDR5, VR Ready), Negro",483.96
Gigabyte Technology AORUS GeForce RTX 3070 Master - Tarjeta gráfica (8 GB) (GV-N3070AORUS M-8GD),1.108.72
HHuin Estable GTX1050Ti computadora de escritorio independiente Tarjeta gráfica de juegos de alta definición 4G GDDR5 tarjeta gráfica robusta,77.51
"SAPLOS Radeon RX 550 Tarjeta Gráfica, 4GB, GDDR5, 128 bits, DisplayPort/DVI-D/HDMI, Tarjeta de Video para Juegos de PC, Graphics Cards, 4k@60 Hz, GPU Computadora",219.99
"upHere GPU Brace Soporte Tarjeta de Video ARGB LED Tarjeta gráfica Soporte de pandeo/Soporte de Funda, (GS05ARGB)",15.99
"Autuncity Tarjeta Gráfica, Funciona sin Problemas Tarjeta Gráfica Discreta Buena Disipación de Calor Estable Seguro para Escritorio",253.19
MSI GeForce RTX 3070 Ti SUPRIM X 8G NVIDIA 8 GB GDDR6X,1.399.99
"EZDIY-FAB Soporte para tarjeta gráfica vertical con multiángulo, montaje GPU, kit de soporte para tarjeta gráfica VGA con cable Riser PCIE3.0 – Blanco",45.35
MSI RTX 3080 SUPRIM X 10G LHR Tarjeta gráfica NVIDIA GeForce RTX 3080 10 GB GDDR6X,45.35
Tarjeta gráfica Vga Pci 8Mb 32-bit Accesorios para computadora de Escritorio Ati Rage XL Multi-Monitor,17.39
ZOTAC GeForce GT 730 Zone Edition - Tarjeta gráfica (2048 MB),87.38
"Palit GeForce RTX 3060 Tarjeta gráfica Dual, 12 GB, GDDR6, LHR, 3584 núcleos, 1320 MHz GPU, 1777 MHz Boost, Arquitectura de amperios, 3 x DisplayPort, HDMI, Ventiladores duales",536.65
"Tarjeta gráfica para PC Gaming AMD Radeon RX 550 4 GB GDDR5 ITX para Videojuegos en PC GPU 128 bits DirectX 12 PCI Express X16 3.0 DVI-D Dual Link, HDMI, DisplayPort",275.00
"EZDIY-FAB - Soporte de tarjeta gráfica vertical con LED ARGB 5 V 3 pines, soporte GPU, kit de soporte VGA para tarjeta de vídeo con cable de montaje PCIE3.0, color negro",44.07
"Gigabyte Technology AORUS GeForce RTX 3060 Ti Elite 8G NVIDIA 8 GB GDDR6(NO VALIDO para MINERIA), Único (GV-N306TAORUS E-8GD V2)",786.47
